Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,kelly,17732,Keon Coleman,BUF,WR,vs DET,receptions,theScore,3.5,over,1800,,0.0526,0.0526,,1,0.2218,0.1692,0.1692,15%+,2.5399,1,84.6638,won,6,45.7182,matched,0.0062,0.1176,1600,3.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,kelly,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,7.5,over,970,,0.0935,0.0935,,1,0.2894,0.1960,0.1960,15%+,2.5399,1,84.6638,lost,3,-2.5399,matched,0.0018,0.0190,950,7.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,kelly,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,97.5,over,375,-700,0.2105,0.1939,0.0855,0,0.3803,0.1697,0.1863,15%+,2.5399,1,84.6638,lost,85,-2.5399,line-moved,,,325,98.5,toward,opticodds,2026-09-15T18:07:45.828Z
2026,2,kelly,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,DraftKings,5.5,over,314,,0.2415,0.2415,,1,0.3982,0.1567,0.1567,15%+,2.5399,1,84.6638,won,7,7.9753,matched,0.0230,0.0952,278,5.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,kelly,17704,Malik Nabers,NYG,WR,at LAR,receptions,Hard Rock,9.5,over,800,,0.1111,0.1111,,1,0.1754,0.0643,0.0643,5-10%,1.5308,1,84.6638,lost,1,-1.5308,matched,-0.0111,-0.1000,900,9.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,kelly,18514,Cam Skattebo,NYG,RB,at LAR,rushYds,Hard Rock,79.5,over,325,-525,0.2353,0.2188,0.0753,0,0.3174,0.0821,0.0985,5-10%,2.2726,1,84.6638,lost,36,-2.2726,matched,0.0105,0.1333,275,79.5,same,opticodds,2026-09-15T18:07:45.828Z
