Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,3,kelly,17795,MarShawn Lloyd,GB,RB,vs ATL,receptions,DraftKings,3.5,over,1700,,0.0556,0.0556,,1,0.2073,0.1518,0.1518,15%+,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,17700,Michael Penix Jr.,ATL,QB,at GB,passYds,Hard Rock,116.5,under,1100,-4000,0.0833,0.0787,0.0589,0,0.2399,0.1566,0.1612,15%+,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,18478,Tre Harris,LAC,WR,at BUF,receptions,Hard Rock,0.5,under,1200,-5000,0.0769,0.0728,0.0573,0,0.2006,0.1237,0.1279,10-15%,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,18500,Matthew Golden,GB,WR,vs ATL,receptions,BetRivers,7.5,over,1100,,0.0833,0.0833,,1,0.2029,0.1196,0.1196,10-15%,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,12483,Josh Allen,BUF,QB,vs LAC,int,BetRivers,1.5,over,540,,0.1563,0.1563,,1,0.3083,0.1520,0.1520,15%+,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,16899,Quentin Johnston,LAC,WR,at BUF,receptions,Caesars,5.5,over,675,,0.1290,0.1290,,1,0.2227,0.0937,0.0937,5-10%,3.4811,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,12561,Lamar Jackson,BAL,QB,at DAL,rushYds,FanDuel,49.5,over,204,,0.3289,0.3289,,1,0.5419,0.2129,0.2129,15%+,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,11008,Dak Prescott,DAL,QB,vs BAL,passYds,Hard Rock,174.5,under,850,-3000,0.1053,0.0981,0.0730,0,0.1651,0.0599,0.0670,5-10%,2.1647,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
2026,3,kelly,15947,Jake Ferguson,DAL,TE,vs BAL,recYds,DraftKings,24.5,over,-130,,0.5652,0.5652,,1,0.7558,0.1906,0.1906,15%+,3.8842,1,129.4741,pending,,,,,,,,,opticodds,2026-09-22T17:47:03.773Z
