Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,receptions,BetRivers,5.5,over,2.74,650,,0.1333,0.1333,,1,0.2227,0.0894,0.0894,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,recYds,theScore,89.5,over,75.47,275,,0.2667,0.2667,,1,0.3559,0.0892,0.0892,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,completions,Hard Rock,19.5,over,21.3,100,-130,0.5000,0.4694,0.0652,0,0.5889,0.0889,0.1196,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,theScore,36.5,over,42.06,-110,-120,0.5238,0.4899,0.0693,0,0.6124,0.0886,0.1225,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15946,Christian Watson,GB,WR,vs ATL,receptions,Hard Rock,3.5,under,3.95,195,-275,0.3390,0.3161,0.0723,0,0.4275,0.0885,0.1113,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,theScore,59.5,over,87.97,-300,,0.7500,0.7500,,1,0.8382,0.0882,0.0882,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14411,CeeDee Lamb,DAL,WR,vs BAL,receptions,DraftKings,6.5,under,5.87,114,-146,0.4673,0.4405,0.0608,0,0.5554,0.0881,0.1149,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,recYds,Hard Rock,25.5,under,32.4,240,-375,0.2941,0.2714,0.0836,0,0.3822,0.0881,0.1108,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15947,Jake Ferguson,DAL,TE,vs BAL,recYds,Hard Rock,12.5,over,34.7,-550,325,0.8462,0.7824,0.0814,0,0.9342,0.0881,0.1518,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,DraftKings,6.5,over,4,431,,0.1883,0.1883,,1,0.2763,0.0880,0.0880,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,recYds,Hard Rock,24.5,under,32.4,260,-425,0.2778,0.2555,0.0873,0,0.3658,0.0880,0.1103,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,10819,Derrick Henry,BAL,RB,at DAL,rushYds,theScore,84.5,over,97.69,-125,-105,0.5556,0.5203,0.0678,0,0.6435,0.0880,0.1232,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,theScore,69.5,over,69.88,140,,0.4167,0.4167,,1,0.5045,0.0879,0.0879,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15946,Christian Watson,GB,WR,vs ATL,receptions,Hard Rock,2.5,under,3.95,425,-850,0.1905,0.1755,0.0852,0,0.2779,0.0874,0.1024,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,theScore,19.5,over,42.06,-375,,0.7895,0.7895,,1,0.8768,0.0873,0.0873,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,DraftKings,39.5,over,42.06,115,,0.4651,0.4651,,1,0.5523,0.0872,0.0872,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,recYds,DraftKings,89.5,over,75.47,272,,0.2688,0.2688,,1,0.3559,0.0871,0.0871,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Hard Rock,288.5,over,259.92,275,-425,0.2667,0.2478,0.0762,0,0.3538,0.0871,0.1060,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,63.5,under,34.63,-600,350,0.8571,0.7941,0.0794,0,0.9440,0.0869,0.1499,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,BetRivers,59.5,over,69.88,-115,-113,0.5349,0.5020,0.0654,0,0.6216,0.0868,0.1196,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Hard Rock,25.5,over,40.08,-220,155,0.6875,0.6368,0.0797,0,0.7738,0.0863,0.1370,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,recYds,FanDuel,39.5,over,75.47,-334,,0.7696,0.7696,,1,0.8557,0.0861,0.0861,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Caesars,29.5,over,40.08,-164,,0.6212,0.6212,,1,0.7072,0.0860,0.0860,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15868,Drake London,ATL,WR,at GB,recYds,Hard Rock,88.5,under,61.67,-350,225,0.7778,0.7165,0.0855,0,0.8638,0.0860,0.1472,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,Caesars,6.5,over,4,425,,0.1905,0.1905,,1,0.2763,0.0859,0.0859,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
