Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,79.5,over,185,-275,0.3509,0.3236,0.0842,0,0.5526,0.2018,0.2290,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,DraftKings,18.5,under,-123,-103,0.5516,0.5209,0.0590,0,0.7525,0.2009,0.2316,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,64.5,over,240,-375,0.2941,0.2714,0.0836,0,0.4917,0.1975,0.2202,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,82.5,over,210,-325,0.3226,0.2967,0.0873,0,0.5197,0.1971,0.2230,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,7.5,over,970,,0.0935,0.0935,,1,0.2894,0.1960,0.1960,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,64.5,over,-105,-130,0.5122,0.4754,0.0774,0,0.7078,0.1956,0.2324,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,BetRivers,7.5,over,950,,0.0952,0.0952,,1,0.2894,0.1942,0.1942,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,FanDuel,62.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.7264,0.1937,0.2264,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,87.5,over,260,-400,0.2778,0.2577,0.0778,0,0.4705,0.1927,0.2127,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,62.5,over,-115,-115,0.5349,0.5000,0.0698,0,0.7264,0.1916,0.2264,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,92.5,over,325,-525,0.2353,0.2188,0.0753,0,0.4249,0.1896,0.2061,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Caesars,7.5,over,900,,0.1000,0.1000,,1,0.2894,0.1894,0.1894,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,6.5,over,499,,0.1669,0.1669,,1,0.3552,0.1883,0.1883,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,63.5,over,225,-350,0.3077,0.2835,0.0855,0,0.4954,0.1877,0.2119,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,28.5,over,-325,210,0.7647,0.7033,0.0873,0,0.9475,0.1828,0.2442,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,8.5,over,1820,,0.0521,0.0521,,1,0.2300,0.1779,0.1779,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,BetRivers,6.5,over,460,,0.1786,0.1786,,1,0.3552,0.1767,0.1767,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,97.5,over,375,-700,0.2105,0.1939,0.0855,0,0.3803,0.1697,0.1863,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,theScore,3.5,over,1800,,0.0526,0.0526,,1,0.2218,0.1692,0.1692,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,Caesars,17.5,under,102,-130,0.4950,0.4669,0.0603,0,0.6642,0.1691,0.1972,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15892,Khalil Shakir,BUF,WR,vs DET,receptions,Caesars,6.5,over,425,,0.1905,0.1905,,1,0.3552,0.1648,0.1648,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushAtt,Hard Rock,17.5,under,100,-130,0.5000,0.4694,0.0652,0,0.6642,0.1642,0.1948,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,99.5,over,400,-750,0.2000,0.1848,0.0824,0,0.3628,0.1628,0.1780,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,57.5,over,-155,110,0.6078,0.5607,0.0840,0,0.7704,0.1626,0.2097,ev,multiplicative,live,202609222DD46A1C,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,Caesars,2.5,over,525,,0.1600,0.1600,,1,0.3225,0.1625,0.1625,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,DraftKings,2.5,over,525,,0.1600,0.1600,,1,0.3225,0.1625,0.1625,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,17732,Keon Coleman,BUF,WR,vs DET,receptions,FanDuel,2.5,over,516,,0.1623,0.1623,,1,0.3225,0.1601,0.1601,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,13466,Dawson Knox,BUF,TE,vs DET,recYds,Caesars,9.5,over,-152,,0.6032,0.6032,,1,0.7628,0.1596,0.1596,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
