Season,GameWeek,Split,Team,PlayerID,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs
2026,1,M,CIN,14442,36.90,2.49,,25.77,267.22,2.44,0.68,6.81,0.10,0.00,0.00,0.00
2026,1,M,PHI,14416,27.93,7.40,,18.99,210.26,1.60,0.44,32.23,0.56,0.00,0.00,0.00
2026,1,M,NE,17673,32.47,5.35,,21.58,255.56,1.66,0.81,25.57,0.20,0.00,0.00,0.00
2026,1,M,BAL,12561,28.42,8.14,,19.17,228.53,1.36,0.46,38.80,0.28,0.00,0.00,0.00
2026,1,M,DET,10729,35.22,1.62,,23.69,267.73,2.11,0.50,2.14,0.05,0.00,0.00,0.00
2026,1,M,BUF,12483,30.71,5.68,,19.07,229.33,1.44,0.81,22.13,0.53,0.00,0.00,0.00
2026,1,M,TB,12619,32.10,3.25,,20.94,234.17,2.09,1.06,16.38,0.13,0.00,0.00,0.00
2026,1,M,SF,15834,31.59,3.95,,21.15,246.99,1.86,0.94,12.65,0.16,0.00,0.00,0.00
2026,1,M,JAX,15357,32.49,4.38,,20.02,228.12,1.70,0.65,15.82,0.32,0.00,0.00,0.00
2026,1,M,NYG,18574,29.68,5.89,,19.78,204.25,1.45,0.48,31.76,0.39,0.00,0.00,0.00
2026,1,M,CHI,17695,34.94,4.25,,21.60,251.20,1.57,0.81,20.57,0.15,0.00,0.00,0.00
2026,1,M,LAR,5971,32.57,1.31,,21.80,245.83,2.13,0.46,1.82,0.05,0.00,0.00,0.00
2026,1,M,NO,17037,34.40,4.99,,22.58,239.44,1.57,0.52,18.11,0.19,0.00,0.00,0.00
2026,1,M,DAL,11008,35.71,2.37,,22.82,265.68,1.54,0.59,10.43,0.13,0.00,0.00,0.00
2026,1,M,MIN,13613,32.97,5.91,,22.75,221.33,1.49,0.44,28.11,0.18,0.00,0.00,0.00
2026,1,M,LAC,14446,32.31,4.46,,21.34,239.35,1.33,0.49,20.90,0.19,0.00,0.00,0.00
2026,1,M,SEA,12490,32.56,2.92,,20.76,243.94,1.71,0.90,9.79,0.10,0.00,0.00,0.00
2026,1,M,WAS,17692,32.92,7.10,,19.10,223.18,1.02,0.51,32.97,0.25,0.00,0.00,0.00
2026,1,M,DEN,16995,35.24,4.33,,22.71,230.61,1.44,0.57,15.54,0.20,0.00,0.00,0.00
2026,1,M,TEN,16997,34.77,2.70,,21.33,223.75,1.58,0.18,10.51,0.14,0.00,0.00,0.00
2026,1,M,CAR,16807,30.88,4.63,,20.22,202.52,1.54,1.07,23.30,0.21,0.00,0.00,0.00
2026,1,M,GB,14371,32.60,3.01,,20.20,238.38,1.39,0.66,9.71,0.08,0.00,0.00,0.00
