Season,GameWeek,Split,Team,PlayerID,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs
2026,2,M,BUF,12483,30.60,6.12,0.00,19.81,234.25,1.67,0.45,28.08,0.62,0.00,0.00,0.00
2026,2,M,PHI,14416,27.26,7.37,0.00,17.40,204.27,1.58,0.40,30.65,0.62,0.00,0.00,0.00
2026,2,M,SF,15834,30.09,4.03,0.00,20.01,244.50,2.00,0.69,16.53,0.23,0.00,0.00,0.00
2026,2,M,BAL,12561,26.55,9.58,0.00,17.04,210.71,1.65,0.40,44.37,0.23,0.00,0.00,0.00
2026,2,M,WAS,17692,29.85,7.93,0.00,18.93,211.65,1.48,0.37,42.07,0.36,0.00,0.00,0.00
2026,2,M,DET,16808,0.00,19.28,4.66,0.00,0.00,0.00,0.00,111.31,1.31,3.86,24.08,0.15
2026,2,M,DAL,11008,33.58,2.43,0.00,21.64,258.21,2.07,0.49,9.82,0.09,0.00,0.00,0.00
2026,2,M,GB,14371,33.51,3.09,0.00,20.85,249.97,2.01,0.26,12.66,0.11,0.00,0.00,0.00
2026,2,M,NE,17673,31.86,5.53,0.00,21.41,254.59,1.58,1.01,24.54,0.18,0.00,0.00,0.00
2026,2,M,CHI,17695,31.46,5.56,0.00,19.06,222.86,1.73,0.49,24.79,0.14,0.00,0.00,0.00
2026,2,M,NYG,18574,30.27,6.65,0.00,18.90,202.36,1.34,0.78,36.79,0.38,0.00,0.00,0.00
2026,2,M,HOU,16886,31.57,2.94,0.00,20.31,234.52,1.87,0.89,13.62,0.12,0.00,0.00,0.00
2026,2,M,CIN,14442,34.81,2.61,0.00,23.41,246.51,1.93,0.89,6.90,0.09,0.00,0.00,0.00
2026,2,M,MIA,15872,27.97,7.20,0.00,18.64,203.49,1.25,0.37,33.31,0.37,0.00,0.00,0.00
2026,2,M,KC,11839,32.51,4.03,0.00,21.31,245.25,1.43,0.54,18.53,0.17,0.00,0.00,0.00
2026,2,M,JAX,15357,33.48,4.57,0.00,20.51,231.46,1.29,0.60,15.59,0.33,0.00,0.00,0.00
2026,2,M,TB,12619,30.72,3.66,0.00,19.51,216.74,1.78,0.69,15.14,0.14,0.00,0.00,0.00
