Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,1,disciplined,16042,Chig Okonkwo,WAS,TE,@ PHI,receptions,draftkings,2.5,over,-141,,0.5851,0.5851,,1,0.8009,0.2158,0.2158,15%+,1,1,100,lost,2,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,16033,Isaiah Likely,NYG,TE,vs DAL,receptions,draftkings,3.5,over,111,,0.4739,0.4739,,1,0.6822,0.2083,0.2083,15%+,1,1,100,won,8,1.11,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,13556,David Montgomery,HOU,RB,vs BUF,receptions,draftkings,1.5,over,-123,,0.5516,0.5516,,1,0.7462,0.1946,0.1946,15%+,1,1,100,won,3,0.813,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,15222,Kenny Gainwell,TB,RB,@ CIN,rushYds,draftkings,23.5,over,-108,,0.5192,0.5192,,1,0.7119,0.1927,0.1927,15%+,1,1,100,lost,15,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,13610,T.J. Hockenson,MIN,TE,vs GB,recYds,draftkings,26.5,over,-109,,0.5215,0.5215,,1,0.6992,0.1776,0.1776,15%+,1,1,100,won,36,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,15947,Jake Ferguson,DAL,TE,@ NYG,receptions,draftkings,3.5,over,-106,,0.5146,0.5146,,1,0.6861,0.1715,0.1715,15%+,1,1,100,lost,2,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,16965,Andrei Iosivas,CIN,WR,vs TB,recYds,draftkings,14.5,over,-111,,0.5261,0.5261,,1,0.6931,0.1670,0.1670,15%+,1,1,100,lost,12,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,12764,Mike Gesicki,CIN,TE,vs TB,recYds,draftkings,20.5,over,-109,,0.5215,0.5215,,1,0.6862,0.1647,0.1647,15%+,1,1,100,won,78,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,12860,Dallas Goedert,PHI,TE,vs WAS,recYds,draftkings,35.5,over,-109,,0.5215,0.5215,,1,0.6845,0.1630,0.1630,15%+,1,1,100,won,77,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,disciplined,14376,Jauan Jennings,MIN,WR,vs GB,recYds,draftkings,22.5,over,-113,,0.5305,0.5305,,1,0.6920,0.1614,0.1614,15%+,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
