Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Odds,ImpliedProb,OurProb,Edge,EdgeBucket,FlatStakeUnits,KellyStakeUnits,KellyFractionUsed,CapturedAt,Status,Actual,PnlFlatUnits,PnlKellyUnits
2026,1,15947,Jake Ferguson,DAL,TE,@ NYG,receptions,betr,3.5,-106,0.5146,0.6861,0.1715,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16919,Zay Flowers,BAL,WR,@ IND,recYds,circasports,63.5,-110,0.5238,0.6944,0.1706,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14418,J.K. Dobbins,DEN,RB,@ KC,recYds,fanduel,3.5,-114,0.5327,0.7023,0.1696,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15210,Rashod Bateman,BAL,WR,@ IND,recYds,fanduel,25.5,-114,0.5327,0.7017,0.1690,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,19235,Jeremiyah Love,ARI,RB,@ LAC,receptions,fanduel,2.5,120,0.4545,0.6219,0.1673,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16965,Andrei Iosivas,CIN,WR,vs TB,recYds,draftkings,14.5,-111,0.5261,0.6931,0.1670,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12764,Mike Gesicki,CIN,TE,vs TB,receptions,betrivers,2.5,128,0.4386,0.6045,0.1659,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,12507,Saquon Barkley,PHI,RB,vs WAS,recYds,betr,15.5,-104,0.5098,0.6740,0.1642,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18547,Tetairoa McMillan,CAR,WR,vs CHI,recYds,betrivers,57.5,-113,0.5305,0.6906,0.1601,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,17033,Sam LaPorta,DET,TE,vs NO,receptions,betrivers,4.5,128,0.4386,0.5969,0.1583,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15976,Tyler Allgeier,ARI,RB,@ LAC,rushYds,fanduel,28.5,-114,0.5327,0.6900,0.1573,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18503,Gunnar Helm,TEN,TE,vs NYJ,recYds,betrivers,19.5,-118,0.5413,0.6984,0.1571,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,16977,Jayden Reed,GB,WR,@ MIN,receptions,thescore,3.5,100,0.5000,0.6567,0.1567,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18811,Jacory Croskey-Merritt,WAS,RB,@ PHI,recYds,caesars,6.5,-113,0.5305,0.6868,0.1562,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15892,Khalil Shakir,BUF,WR,@ HOU,recYds,draftkings,34.5,-114,0.5327,0.6888,0.1561,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,15306,Javonte Williams,DAL,RB,@ NYG,rushYds,thescore,74.5,100,0.5000,0.6553,0.1553,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,14657,Rico Dowdle,PIT,RB,vs ATL,recYds,betrivers,9.5,-117,0.5392,0.6942,0.1551,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,10819,Derrick Henry,BAL,RB,@ IND,recYds,draftkings,6.5,-107,0.5169,0.6718,0.1549,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18534,Tyler Warren,IND,TE,vs BAL,recYds,fanduel,45.5,-114,0.5327,0.6864,0.1537,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
2026,1,18522,RJ Harvey,DEN,RB,@ KC,rushYds,draftkings,18.5,-113,0.5305,0.6840,0.1535,15%+,1,3.0000,0.0300,2026-09-11T18:12:40.026Z,pending,,,
