Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,1,firehose,18547,Tetairoa McMillan,CAR,WR,vs CHI,recYds,betrivers,57.5,over,-113,,0.5305,0.5305,,1,0.6906,0.1601,0.1601,15%+,1,1,100,won,75,0.885,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,17033,Sam LaPorta,DET,TE,vs NO,receptions,betrivers,4.5,over,128,,0.4386,0.4386,,1,0.5969,0.1583,0.1583,15%+,1,1,100,won,5,1.28,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15976,Tyler Allgeier,ARI,RB,@ LAC,rushYds,fanduel,28.5,over,-114,,0.5327,0.5327,,1,0.6900,0.1573,0.1573,15%+,1,1,100,won,61,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18503,Gunnar Helm,TEN,TE,vs NYJ,recYds,betrivers,19.5,over,-118,,0.5413,0.5413,,1,0.6984,0.1571,0.1571,15%+,1,1,100,won,28,0.8475,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16977,Jayden Reed,GB,WR,@ MIN,receptions,thescore,3.5,over,100,,0.5000,0.5000,,1,0.6567,0.1567,0.1567,15%+,1,1,100,lost,3,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18811,Jacory Croskey-Merritt,WAS,RB,@ PHI,recYds,caesars,6.5,over,-113,,0.5305,0.5305,,1,0.6868,0.1562,0.1562,15%+,1,1,100,lost,-7,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15892,Khalil Shakir,BUF,WR,@ HOU,recYds,draftkings,34.5,over,-114,,0.5327,0.5327,,1,0.6888,0.1561,0.1561,15%+,1,1,100,won,50,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15306,Javonte Williams,DAL,RB,@ NYG,rushYds,thescore,74.5,over,100,,0.5000,0.5000,,1,0.6553,0.1553,0.1553,15%+,1,1,100,lost,41,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14657,Rico Dowdle,PIT,RB,vs ATL,recYds,betrivers,9.5,over,-117,,0.5392,0.5392,,1,0.6942,0.1551,0.1551,15%+,1,1,100,lost,6,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,10819,Derrick Henry,BAL,RB,@ IND,recYds,draftkings,6.5,over,-107,,0.5169,0.5169,,1,0.6718,0.1549,0.1549,15%+,1,1,100,won,19,0.9346,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18534,Tyler Warren,IND,TE,vs BAL,recYds,fanduel,45.5,over,-114,,0.5327,0.5327,,1,0.6864,0.1537,0.1537,15%+,1,1,100,lost,13,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18522,RJ Harvey,DEN,RB,@ KC,rushYds,draftkings,18.5,over,-113,,0.5305,0.5305,,1,0.6840,0.1535,0.1535,15%+,1,1,100,lost,18,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,12559,Mark Andrews,BAL,TE,@ IND,recYds,betrivers,33.5,over,-117,,0.5392,0.5392,,1,0.6912,0.1521,0.1521,15%+,1,1,100,won,49,0.8547,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14376,Jauan Jennings,MIN,WR,vs GB,receptions,betrivers,2.5,over,138,,0.4202,0.4202,,1,0.5704,0.1503,0.1503,15%+,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18503,Gunnar Helm,TEN,TE,vs NYJ,receptions,caesars,2.5,over,111,,0.4739,0.4739,,1,0.6222,0.1483,0.1483,10-15%,1,1,100,won,4,1.11,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,14510,Darnell Mooney,NYG,WR,vs DAL,recYds,caesars,19.5,over,-112,,0.5283,0.5283,,1,0.6755,0.1472,0.1472,10-15%,1,1,100,won,27,0.8929,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,17784,Bucky Irving,TB,RB,@ CIN,recYds,fanduel,13.5,over,-114,,0.5327,0.5327,,1,0.6798,0.1471,0.1471,10-15%,1,1,100,won,48,0.8772,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18555,Jaylin Noel,HOU,WR,vs BUF,recYds,betrivers,13.5,over,-117,,0.5392,0.5392,,1,0.6857,0.1465,0.1465,10-15%,1,1,100,won,53,0.8547,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18562,Pat Bryant,DEN,WR,@ KC,recYds,draftkings,23.5,over,-108,,0.5192,0.5192,,1,0.6654,0.1462,0.1462,10-15%,1,1,100,won,42,0.9259,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16689,Josh Downs,IND,WR,vs BAL,receptions,betrivers,4.5,over,143,,0.4115,0.4115,,1,0.5569,0.1454,0.1454,10-15%,1,1,100,lost,2,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,12559,Mark Andrews,BAL,TE,@ IND,receptions,fanduel,3.5,over,116,,0.4630,0.4630,,1,0.6082,0.1452,0.1452,10-15%,1,1,100,won,4,1.16,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16042,Chig Okonkwo,WAS,TE,@ PHI,recYds,betrivers,24.5,over,-120,,0.5455,0.5455,,1,0.6900,0.1445,0.1445,10-15%,1,1,100,lost,16,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,16977,Jayden Reed,GB,WR,@ MIN,recYds,betrivers,38.5,over,-117,,0.5392,0.5392,,1,0.6818,0.1426,0.1426,10-15%,1,1,100,lost,20,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,18514,Cam Skattebo,NYG,RB,vs DAL,recYds,draftkings,14.5,over,-115,,0.5349,0.5349,,1,0.6758,0.1409,0.1409,10-15%,1,1,100,lost,0,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,19313,Malachi Fields,NYG,WR,vs DAL,recYds,draftkings,21.5,over,-109,,0.5215,0.5215,,1,0.6623,0.1407,0.1407,10-15%,1,1,100,won,25,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13894,KaVontae Turpin,DAL,WR,@ NYG,recYds,draftkings,8.5,over,-108,,0.5192,0.5192,,1,0.6597,0.1404,0.1404,10-15%,1,1,100,lost,8,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13556,David Montgomery,HOU,RB,vs BUF,rushYds,draftkings,54.5,over,-109,,0.5215,0.5215,,1,0.6596,0.1381,0.1381,10-15%,1,1,100,won,60,0.9174,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,13466,Dawson Knox,BUF,TE,@ HOU,recYds,draftkings,13.5,over,-109,,0.5215,0.5215,,1,0.6595,0.1380,0.1380,10-15%,1,1,100,lost,7,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
2026,1,firehose,15459,Noah Gray,KC,TE,vs DEN,receptions,draftkings,1.5,over,144,,0.4098,0.4098,,1,0.5475,0.1377,0.1377,10-15%,1,1,100,lost,1,-1,,,,,,,rotowire,2026-09-11T18:12:40.026Z
