Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,firehose,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,7.5,over,970,,0.0935,0.0935,,1,0.2894,0.1960,0.1960,15%+,1,1,100,lost,3,-1,matched,0.0018,0.0190,950,7.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,97.5,over,375,-700,0.2105,0.1939,0.0855,0,0.3803,0.1697,0.1863,15%+,1,1,100,pending,,,not-found,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,17732,Keon Coleman,BUF,WR,vs DET,receptions,theScore,3.5,over,1800,,0.0526,0.0526,,1,0.2218,0.1692,0.1692,15%+,1,1,100,won,6,18,matched,0.0062,0.1176,1600,3.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,15876,James Cook,BUF,RB,vs DET,rushAtt,Caesars,17.5,under,102,-130,0.4950,0.4669,0.0603,0,0.6642,0.1691,0.1972,15%+,1,1,100,lost,21,-1,matched,-0.0142,0.0394,-106,17.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,13466,Dawson Knox,BUF,TE,vs DET,recYds,Caesars,9.5,over,-152,,0.6032,0.6032,,1,0.7628,0.1596,0.1596,15%+,1,1,100,lost,5,-1,matched,0.0000,0.0000,-152,9.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,16697,Dalton Kincaid,BUF,TE,vs DET,receptions,DraftKings,5.5,over,314,,0.2415,0.2415,,1,0.3982,0.1567,0.1567,15%+,1,1,100,won,7,3.14,matched,0.0230,0.0952,278,5.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,16808,Jahmyr Gibbs,DET,RB,at BUF,rushYds,BetRivers,99.5,over,123,,0.4484,0.4484,,1,0.6025,0.1540,0.1540,15%+,1,1,100,lost,52,-1,matched,-0.0136,-0.0304,130,99.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,15447,Joshua Palmer,BUF,WR,vs DET,recYds,Hard Rock,23.5,under,-260,180,0.7222,0.6691,0.0794,0,0.8686,0.1464,0.1995,10-15%,1,1,100,lost,43,-1,matched,-0.0531,0.0000,-260,23.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,17033,Sam LaPorta,DET,TE,at BUF,recYds,Hard Rock,64.5,under,-275,195,0.7333,0.6839,0.0723,0,0.8789,0.1456,0.1950,10-15%,1,1,100,won,52,0.3636,matched,-0.0483,0.0227,-300,64.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,10729,Jared Goff,DET,QB,at BUF,passAtt,DraftKings,35.5,under,-102,-124,0.5050,0.4770,0.0585,0,0.6422,0.1372,0.1651,10-15%,1,1,100,lost,38,-1,matched,-0.0225,0.0143,-105,35.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,firehose,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,23.5,over,-500,300,0.8333,0.7692,0.0833,0,0.9686,0.1353,0.1994,10-15%,1,1,100,pending,,,not-found,,,,,,opticodds,2026-09-15T18:07:45.828Z
