Season,Split,NFLNewsID,PassAtt,RushAtt,Targets,PassComp,PassYard,PassTD,PassInt,RushYard,RushTD,Receptions,RecYard,RecTD
2025,F,17096,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17096,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17098,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17098,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17098,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17100,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17100,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17100,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17101,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17101,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17101,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17102,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17102,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17102,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17103,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17103,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17103,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17104,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17104,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17104,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17107,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17107,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17107,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17108,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17108,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17108,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17109,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17109,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17109,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17112,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17112,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17112,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17115,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17115,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17115,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17116,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17116,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17116,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17118,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17118,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17118,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17119,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17119,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17119,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17120,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17120,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17120,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17121,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17121,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17121,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17123,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17123,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17123,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17124,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17124,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17124,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17130,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17130,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17130,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17132,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17132,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17132,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17133,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17133,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17133,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17149,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17149,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17149,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17150,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17150,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17150,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17151,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17151,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17151,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17152,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17152,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17152,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17153,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17153,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17153,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17154,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17154,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17154,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17156,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17156,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17156,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17157,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17157,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17157,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17158,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17158,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17158,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17159,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17159,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17159,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17160,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17160,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17160,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17161,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17161,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17161,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17165,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17165,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17165,0,0,0,0,0,0,0,0,0,0,0,0
2025,C,17167,0,0,14.20840082,0,0,0,0,0,0,10.55146789,132.1250243,0.986620064
2025,F,17167,0,0,0,0,0,0,0,0,0,0,0,0
2025,M,17167,0,0,1.570824802,0,0,0,0,0,0,1.085638302,14.96639649,0.148561998
2025,C,17168,0,0,0,0,0,0,0,0,0,0,0,0
2025,F,17168,0,0,0,0,0,0,0,0,0,0,0,0
