PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
15335,QB,2025,0,0,0,0,0,0,0,0,0,0,0
11709,QB,2025,0,3,17,28,185,0,0,0,0,0,0
16913,QB,2025,0,4,19,31,195,0,0,1,0,0,0
16997,QB,2025,46,184,319,523,3400,0,0,22,0,1,0
11712,QB,2025,4,20,127,201,1366,0,0,7,0,0,0
10856,QB,2025,0,3,3,5,41,0,0,0,0,0,0
17695,QB,2025,80,403,348,560,3672,0,0,26,0,2,0
15872,QB,2025,108,572,294,461,3329,0,0,16,0,5,0
15330,QB,2025,0,0,0,0,0,0,0,0,0,0,0
10037,QB,2025,0,4,22,33,227,0,0,1,0,0,0
16807,QB,2025,74,378,313,504,3184,0,0,19,0,3,0
4307,QB,2025,25,132,293,452,3481,0,0,20,0,1,0
5648,QB,2025,1,6,31,50,340,0,0,1,0,0,0
5653,QB,2025,0,2,9,15,98,0,0,0,0,0,0
5971,QB,2025,37,127,341,532,4001,0,0,30,0,0,0
10126,RB,2025,3,14,0,0,0,1,12,0,0,0,2
16661,RB,2025,219,1158,0,0,0,54,410,0,2,8,64
14383,RB,2025,4,19,0,0,0,0,4,0,0,0,0
17026,RB,2025,31,123,0,0,0,9,87,0,0,1,13
17702,RB,2025,72,292,0,0,0,18,154,0,1,2,24
18533,RB,2025,34,143,0,0,0,5,41,0,0,1,7
18476,RB,2025,20,85,0,0,0,18,130,0,0,0,22
15976,RB,2025,96,410,0,0,0,10,81,0,0,2,12
15893,RB,2025,5,27,0,0,0,7,57,0,0,0,9
12507,RB,2025,262,1136,0,0,0,32,235,0,1,8,42
17767,RB,2025,30,139,0,0,0,7,53,0,0,0,8
16705,RB,2025,80,371,0,0,0,7,64,0,0,2,10
19607,RB,2025,41,180,0,0,0,4,31,0,0,1,5
18499,RB,2025,48,179,0,0,0,6,56,0,0,1,9
16741,RB,2025,31,141,0,0,0,10,80,0,0,0,14
17747,RB,2025,116,482,0,0,0,20,144,0,1,3,25
18519,RB,2025,32,122,0,0,0,2,22,0,0,1,3
16934,RB,2025,222,969,0,0,0,65,395,0,3,5,78
19229,RB,2025,10,42,0,0,0,2,13,0,0,0,2
15273,RB,2025,2,11,0,0,0,1,9,0,0,0,1
15979,RB,2025,16,59,0,0,0,6,43,0,0,0,7
16897,RB,2025,66,280,0,0,0,10,69,0,0,2,12
