PlayerID,ID,position,Season,Week,NFLTeamID,Rushes,RushYards,PassComp,PassAtt,PassYards,Receptions,ReceptYds,PassTD,RecptTD,RushTD,Targets
214197,4891,TE,2025,17,Den,0,0,0,0,0,0,0,0,0,0,0
448240,8783,TE,2025,17,KC ,0,0,0,0,0,5,36,0,0,0,6
660151,12389,TE,2025,17,KC ,0,0,0,0,0,0,0,0,0,0,0
746613,11739,RB,2025,17,KC ,7,38,0,0,0,0,0,0,0,0,0
749185,11805,TE,2025,17,Den,0,0,0,0,0,4,21,0,0,0,4
835909,11877,WR,2025,17,KC ,0,0,0,0,0,3,16,0,0,0,3
838878,12586,WR,2025,17,Den,0,0,0,0,0,4,40,0,0,0,10
875444,14541,TE,2025,17,Den,0,0,0,0,0,2,24,0,0,0,2
920482,15786,WR,2025,17,Den,0,0,0,0,0,2,14,0,0,0,2
920758,13565,WR,2025,17,Den,0,0,0,0,0,2,23,0,0,0,5
947634,16291,QB,2025,17,KC ,2,11,13,22,66,0,0,1,0,0,0
976220,13502,WR,2025,17,KC ,0,0,0,0,0,1,7,0,0,0,3
1056981,15459,TE,2025,17,KC ,0,0,0,0,0,1,2,0,0,0,1
1106832,16104,RB,2025,17,KC ,9,32,0,0,0,0,0,0,0,0,0
1124338,15893,RB,2025,17,Den,0,0,0,0,0,0,0,0,0,0,0
1161899,16995,QB,2025,17,Den,9,42,26,38,182,0,0,1,0,1,0
1163272,17894,TE,2025,17,KC ,0,0,0,0,0,0,0,0,0,0,0
1172401,18522,RB,2025,17,Den,14,43,0,0,0,5,33,0,1,0,6
1213799,16849,WR,2025,17,Den,0,0,0,0,0,3,10,0,0,0,4
1271738,17319,RB,2025,17,Den,7,40,0,0,0,0,0,0,0,0,0
1286176,17719,WR,2025,17,Den,0,0,0,0,0,4,17,0,0,0,4
1313668,18529,RB,2025,17,KC ,0,0,0,0,0,3,5,0,1,0,4
1326638,17687,WR,2025,17,KC ,1,1,0,0,0,0,0,0,0,0,3
1403491,18550,WR,2025,17,KC ,0,0,0,0,0,0,0,0,0,0,0
749968,12807,TE,2025,13,Chi,0,0,0,0,0,0,0,0,0,0,0
791365,12860,TE,2025,13,PHI,0,0,0,0,0,2,27,0,0,0,4
877790,12477,WR,2025,13,Chi,1,10,0,0,0,2,17,0,0,0,5
882718,16337,WR,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
883302,12507,RB,2025,13,PHI,13,56,0,0,0,0,0,0,0,0,2
883976,13833,WR,2025,13,Chi,0,0,0,0,0,2,19,0,0,0,3
913271,14416,QB,2025,13,PHI,4,31,19,34,230,0,0,2,0,0,0
920756,14636,WR,2025,13,Chi,0,0,0,0,0,0,0,0,0,0,0
921050,15245,TE,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
922484,13484,RB,2025,13,Chi,0,0,0,0,0,0,0,0,0,0,0
944826,13432,WR,2025,13,PHI,0,0,0,0,0,10,132,0,2,0,12
976221,16039,TE,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
1060262,15406,WR,2025,13,PHI,0,0,0,0,0,5,48,0,0,0,8
1066765,14436,TE,2025,13,Chi,0,0,0,0,0,3,36,0,1,0,3
1069808,14394,RB,2025,13,Chi,18,125,0,0,0,1,13,0,0,1,2
1121878,15850,WR,2025,13,PHI,0,0,0,0,0,1,12,0,0,0,3
1125739,16931,TE,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
1213727,17020,WR,2025,13,Chi,0,0,0,0,0,2,8,0,0,0,6
1215035,16705,RB,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
1223318,18958,WR,2025,13,PHI,0,0,0,0,0,0,0,0,0,0,0
1250886,18520,RB,2025,13,Chi,22,130,0,0,0,0,0,0,0,1,1
1286445,17695,QB,2025,13,Chi,5,13,17,36,154,0,0,1,0,0,0
1287636,17802,RB,2025,13,PHI,0,0,0,0,0,1,11,0,0,0,1
1377732,18548,WR,2025,13,Chi,1,3,0,0,0,4,33,0,0,0,6
1378821,18460,TE,2025,13,Chi,0,0,0,0,0,3,28,0,0,0,6
213957,4307,QB,2025,4,PIT,3,8,18,22,200,0,0,1,0,0,0
606488,10949,TE,2025,4,Min,0,0,0,0,0,0,0,0,0,0,0
613866,10856,QB,2025,4,Min,2,12,30,46,350,0,0,2,0,0,0
733643,8986,WR,2025,4,Min,0,0,0,0,0,2,11,0,0,0,2
743749,11807,TE,2025,4,PIT,0,0,0,0,0,2,6,0,0,0,3
866578,13987,WR,2025,4,PIT,0,0,0,0,0,0,0,0,0,0,1
881779,13786,TE,2025,4,Min,0,0,0,0,0,0,0,0,0,0,1
920944,15467,WR,2025,4,PIT,0,0,0,0,0,0,0,0,0,0,1
923915,13610,TE,2025,4,Min,0,0,0,0,0,4,39,0,0,0,5
945633,13424,WR,2025,4,PIT,0,0,0,0,0,5,126,0,1,0,5
976236,15413,RB,2025,4,PIT,0,0,0,0,0,0,0,0,0,0,0
976251,14383,RB,2025,4,Min,0,0,0,0,0,0,0,0,0,0,0
1062765,15874,WR,2025,4,PIT,0,0,0,0,0,2,13,0,0,0,2
1067309,17510,RB,2025,4,Min,2,1,0,0,0,6,43,0,1,0,8
1069535,14509,WR,2025,4,Min,0,0,0,0,0,10,126,0,0,0,11
1116001,16163,RB,2025,4,Min,16,57,0,0,0,3,15,0,0,0,3
1116662,15267,TE,2025,4,PIT,0,0,0,0,0,0,0,0,0,0,0
1126817,16025,WR,2025,4,Min,0,0,0,0,0,1,2,0,1,0,4
1130705,15222,RB,2025,4,PIT,19,99,0,0,0,6,35,0,0,2,6
1214250,16895,WR,2025,4,Min,0,0,0,0,0,4,114,0,0,0,8
1218658,16889,TE,2025,4,PIT,0,0,0,0,0,3,20,0,0,0,3
1228728,19095,WR,2025,4,Min,0,0,0,0,0,0,0,0,0,0,0
1229669,17043,WR,2025,4,PIT,0,0,0,0,0,0,0,0,0,0,0
1287587,18553,WR,2025,4,Min,0,0,0,0,0,0,0,0,0,0,0
1381902,18515,RB,2025,4,PIT,6,22,0,0,0,0,0,0,0,0,1
606488,10949,TE,2025,5,Min,0,0,0,0,0,0,0,0,0,0,0
613866,10856,QB,2025,5,Min,3,13,25,34,236,0,0,1,0,0,0
733643,8986,WR,2025,5,Min,0,0,0,0,0,0,0,0,0,0,0
832098,11734,TE,2025,5,CLE,0,0,0,0,0,6,67,0,1,0,9
881779,13786,TE,2025,5,Min,0,0,0,0,0,2,35,0,1,0,3
923915,13610,TE,2025,5,Min,0,0,0,0,0,6,38,0,0,0,6
