Season,GameWeek,Split,Team,PlayerID,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs
2025,1,C,LAR,5971,39.984,1.699723156,0,28.16984414,327.2831061,3.067078007,0.832865039,7.88958139,0.084056594,0,0,0
2025,1,F,LAR,5971,27.76666667,1.361173101,0,15.91007129,187.8284033,0.607524666,1.003921017,3.249085463,0,0,0,0
2025,1,M,LAR,5971,33.32,1.521058,0,21.28347825,249.0650108,1.454975992,0.84898759,5.506781012,0.011381292,0,0,0
2025,2,C,LAR,5971,39.984,1.699723156,0,28.62080105,322.715903,3.059953247,0.706823542,8.11490198,0.076626235,0,0,0
2025,2,F,LAR,5971,27.76666667,1.361173101,0,16.70742773,185.5401974,0.604060365,0.911907881,3.424025897,0,0,0,0
2025,2,M,LAR,5971,33.32,1.521058,0,21.94979222,245.7890835,1.450537098,0.750463719,5.705439853,0.004788455,0,0,0
2025,3,C,LAR,5971,39.984,1.901583566,0,28.623106,309.4099289,3.1691177,0.715432381,9.611437987,0.205114471,0,0,0
2025,3,F,LAR,5971,27.76666667,1.522827049,0,16.83943145,174.1906359,0.680285204,0.90320805,3.635416439,0,0,0,0
2025,3,M,LAR,5971,33.32,1.7017,0,22.02995223,233.4352026,1.541517357,0.749700837,6.587916546,0.052832163,0,0,0
2025,4,C,LAR,5971,38.976,1.656872993,0,28.11134322,332.5471178,3.091553312,0.839431018,8.423296735,0.178608062,0,0,0
2025,4,F,LAR,5971,27.06666667,1.326857813,0,16.63605512,191.4239344,0.683076619,0.968981383,3.21203938,0,0,0,0
2025,4,M,LAR,5971,32.48,1.482712,0,21.69469187,253.4156522,1.518458928,0.834253617,5.786702357,0.045843551,0,0,0
2025,5,C,LAR,5971,38.976,1.967714914,0,27.57180259,302.1552173,3.060578361,0.766515605,10.5159884,0.202627631,0,0,0
2025,5,F,LAR,5971,27.06666667,1.575786387,0,16.37172466,170.9990879,0.672801152,0.915228661,4.228470993,0,0,0,0
2025,5,M,LAR,5971,32.48,1.76088,0,21.31128489,228.4974455,1.501549416,0.776995819,7.34014506,0.054141574,0,0,0
2025,6,C,LAR,5971,38.976,1.656872993,0,26.91962703,315.071093,3.269097398,0.754834062,7.981905799,0.16552886,0,0,0
2025,6,F,LAR,5971,27.06666667,1.326857813,0,16.11174825,182.713414,0.846752279,0.771806699,2.725166297,0,0,0,0
2025,6,M,LAR,5971,32.48,1.482712,0,20.88355995,240.9076698,1.694865314,0.700417514,5.323566254,0.040341667,0,0,0
2025,7,C,LAR,5971,38.976,1.967714914,0,27.67326795,327.8817647,3.079969188,0.76926864,10.67929906,0.197592176,0,0,0
