Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,2,15849,Jameson Williams,DET,WR,at BUF,receptions,Hard Rock,2.5,over,-450,,0.8182,0.8182,,1,0.7297,-0.0885,-0.0885,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,18642,Isaac TeSlaa,DET,WR,at BUF,recYds,FanDuel,15.5,under,-114,-114,0.5327,0.5000,0.0654,0,0.4441,-0.0886,-0.0559,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,10729,Jared Goff,DET,QB,at BUF,passYds,Caesars,359.5,over,550,,0.1538,0.1538,,1,0.0652,-0.0887,-0.0887,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12586,Courtland Sutton,DEN,WR,vs JAX,anytimeTD,Caesars,0.5,over,200,,0.3333,0.3333,,1,0.2442,-0.0891,-0.0891,ev,none,live,20260920631848F6,2026-09-15T18:07:45.828Z
2026,2,12586,Courtland Sutton,DEN,WR,vs JAX,anytimeTD,theScore,0.5,over,200,,0.3333,0.3333,,1,0.2442,-0.0891,-0.0891,ev,none,live,20260920631848F6,2026-09-15T18:07:45.828Z
2026,2,18642,Isaac TeSlaa,DET,WR,at BUF,recYds,Hard Rock,10.5,under,135,-195,0.4255,0.3916,0.0865,0,0.3362,-0.0893,-0.0554,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15849,Jameson Williams,DET,WR,at BUF,receptions,Caesars,1.5,over,-2000,,0.9524,0.9524,,1,0.8629,-0.0894,-0.0894,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,16808,Jahmyr Gibbs,DET,RB,at BUF,receptions,DraftKings,3.5,over,-194,,0.6599,0.6599,,1,0.5703,-0.0895,-0.0895,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Caesars,29.5,over,-700,,0.8750,0.8750,,1,0.7854,-0.0896,-0.0896,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,Hard Rock,30.5,over,-650,350,0.8667,0.7959,0.0889,0,0.7770,-0.0896,-0.0189,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,12477,DJ Moore,BUF,WR,vs DET,recYds,theScore,29.5,over,-700,,0.8750,0.8750,,1,0.7854,-0.0896,-0.0896,ev,none,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
2026,2,15876,James Cook,BUF,RB,vs DET,rushYds,Hard Rock,38.5,under,575,-1400,0.1481,0.1370,0.0815,0,0.0585,-0.0897,-0.0785,ev,multiplicative,live,202609189BE34D3B,2026-09-15T18:07:45.828Z
