Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,15946,Christian Watson,GB,WR,vs ATL,receptions,DraftKings,4.5,under,3.95,-105,-122,0.5122,0.4824,0.0617,0,0.5585,0.0463,0.0761,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15946,Christian Watson,GB,WR,vs ATL,receptions,theScore,4.5,under,3.95,-105,-125,0.5122,0.4797,0.0678,0,0.5585,0.0463,0.0788,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15946,Christian Watson,GB,WR,vs ATL,receptions,Hard Rock,4.5,under,3.95,-105,-125,0.5122,0.4797,0.0678,0,0.5585,0.0463,0.0788,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,recYds,Hard Rock,43.5,over,64.26,-190,135,0.6552,0.6062,0.0807,0,0.7014,0.0462,0.0951,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,DraftKings,339.5,over,259.92,880,,0.1020,0.1020,,1,0.1481,0.0460,0.0460,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,Hard Rock,45.5,over,42.06,140,-200,0.4167,0.3846,0.0833,0,0.4627,0.0460,0.0781,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,18445,Omarion Hampton,LAC,RB,at BUF,rushYds,BetRivers,49.5,over,69.88,-215,,0.6825,0.6825,,1,0.7285,0.0459,0.0459,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Hard Rock,64.5,under,40.08,-600,350,0.8571,0.7941,0.0794,0,0.9030,0.0459,0.1089,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,79.5,under,34.63,-1800,650,0.9474,0.8766,0.0807,0,0.9933,0.0459,0.1166,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,recYds,Caesars,29.5,over,75.47,-650,,0.8667,0.8667,,1,0.9125,0.0458,0.0458,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,passYds,Hard Rock,124.5,under,232.97,1600,-8000,0.0588,0.0562,0.0465,0,0.1046,0.0458,0.0484,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,FanDuel,59.5,over,42.06,268,,0.2717,0.2717,,1,0.3174,0.0457,0.0457,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,17795,MarShawn Lloyd,GB,RB,vs ATL,recYds,Hard Rock,25.5,over,12.1,700,-2200,0.1250,0.1156,0.0815,0,0.1707,0.0457,0.0551,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,Hard Rock,24.5,over,52.56,-575,350,0.8519,0.7931,0.0741,0,0.8975,0.0457,0.1044,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Caesars,299.5,over,259.92,290,,0.2564,0.2564,,1,0.3017,0.0453,0.0453,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,theScore,44.5,over,87.97,-800,,0.8889,0.8889,,1,0.9342,0.0453,0.0453,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,theScore,39.5,over,52.56,-210,,0.6774,0.6774,,1,0.7224,0.0450,0.0450,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,recYds,Hard Rock,39.5,over,52.56,-210,145,0.6774,0.6240,0.0856,0,0.7224,0.0450,0.0984,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,16739,Bijan Robinson,ATL,RB,at GB,rushYds,DraftKings,99.5,over,87.97,208,,0.3247,0.3247,,1,0.3695,0.0449,0.0449,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,Caesars,39.5,over,42.06,-103,,0.5074,0.5074,,1,0.5523,0.0449,0.0449,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12477,DJ Moore,BUF,WR,vs LAC,receptions,BetRivers,5.5,over,3.37,335,,0.2299,0.2299,,1,0.2747,0.0448,0.0448,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Caesars,309.5,over,259.92,370,,0.2128,0.2128,,1,0.2576,0.0448,0.0448,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,15853,George Pickens,DAL,WR,vs BAL,receptions,DraftKings,9.5,over,4.89,1420,,0.0658,0.0658,,1,0.1104,0.0447,0.0447,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,recYds,Hard Rock,55.5,over,42.06,220,-325,0.3125,0.2901,0.0772,0,0.3572,0.0447,0.0671,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,theScore,299.5,over,256.07,325,,0.2353,0.2353,,1,0.2800,0.0447,0.0447,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,FanDuel,238.5,over,256.07,-114,-114,0.5327,0.5000,0.0654,0,0.5773,0.0446,0.0773,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,15265,Kyle Pitts,ATL,TE,at GB,recYds,Hard Rock,79.5,under,40.08,-1500,600,0.9375,0.8678,0.0804,0,0.9820,0.0445,0.1142,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15850,Jahan Dotson,ATL,WR,at GB,recYds,BetMGM,19.5,under,17.4,-111,-120,0.5261,0.4910,0.0715,0,0.5704,0.0444,0.0795,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,passYds,Hard Rock,127.5,under,232.97,1400,-6000,0.0667,0.0635,0.0503,0,0.1110,0.0444,0.0476,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,17724,Ladd McConkey,LAC,WR,at BUF,receptions,Caesars,4.5,over,4.77,102,-134,0.4950,0.4637,0.0677,0,0.5392,0.0442,0.0755,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,rushYds,Hard Rock,28.5,under,14.63,-1600,600,0.9412,0.8682,0.0840,0,0.9854,0.0442,0.1172,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
