Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,shopper,15892,Khalil Shakir,BUF,WR,vs DET,receptions,DraftKings,7.5,over,970,,0.0935,0.0935,,1,0.2894,0.1960,0.1960,15%+,1,1,100,pending,,,matched,0.0018,0.0190,950,7.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,shopper,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,97.5,over,375,-700,0.2105,0.1939,0.0855,0,0.3803,0.1697,0.1863,15%+,1,1,100,pending,,,not-found,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,shopper,17732,Keon Coleman,BUF,WR,vs DET,receptions,theScore,3.5,over,1800,,0.0526,0.0526,,1,0.2218,0.1692,0.1692,15%+,1,1,100,pending,,,matched,0.0062,0.1176,1600,3.5,same,opticodds,2026-09-15T18:07:45.828Z
2026,2,shopper,17690,Blake Corum,LAR,RB,vs NYG,rushYds,Hard Rock,23.5,over,-500,300,0.8333,0.7692,0.0833,0,0.9686,0.1353,0.1994,10-15%,1,1,100,pending,,,not-found,,,,,,opticodds,2026-09-15T18:07:45.828Z
