Season,Week,Persona,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBucket,StakeUnits,ScaledBy,BankrollBefore,Status,Actual,PnlUnits,ClvStatus,ClvProb,ClvPct,ClosingOdds,ClosingLine,LineMove,Source,CapturedAt
2026,2,purist,12483,Josh Allen,BUF,QB,vs DET,rushAtt,Hard Rock,7.5,under,-125,-105,0.5556,0.5203,0.0678,0,0.9258,0.3703,0.4055,15%+,3,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,purist,17690,Blake Corum,LAR,RB,vs NYG,rushYds,FanDuel,43.5,over,-114,-114,0.5327,0.5000,0.0654,0,0.8162,0.2835,0.3162,15%+,3,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,purist,15807,Kyren Williams,LAR,RB,vs NYG,rushYds,Hard Rock,67.5,over,110,-150,0.4762,0.4425,0.0762,0,0.6787,0.2025,0.2362,15%+,3,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
2026,2,purist,15876,James Cook,BUF,RB,vs DET,rushAtt,DraftKings,18.5,under,-123,-103,0.5516,0.5209,0.0590,0,0.7525,0.2009,0.2316,15%+,3,1,100,pending,,,,,,,,,opticodds,2026-09-15T18:07:45.828Z
